Model,MAE,RMSE,R²,MAPE
Linear Regression,6.852498605201475,37.65883753773221,-9.521294490985904,42.1287424735312
Ridge Regression,6.853278321915487,37.68020783430673,-9.533238937193685,42.13013171204414
Random Forest,4.67944994867068,7.021525396567863,0.6342382397927947,34.95606607898555
