Model,MAE,RMSE,R²,MAPE,Max |Residual|
Linear Regression (Raw),3.391720512721602,5.416140378287589,0.7823717945559875,28.0704752369531,67.51707663273659
Ridge (Raw),3.39171884758119,5.416157550731189,0.7823704145274996,28.07070377959946,67.52191644708154
Random Forest (Raw),3.675240024280045,5.752965914283167,0.7544618617920025,30.581570300722998,62.5335
Linear Regression (Log),6.852498605201475,37.65883753773222,-9.521294490985907,42.1287424735312,1887.589909308613
Ridge (Log),6.853278321915487,37.68020783430673,-9.533238937193683,42.13013171204414,1889.7472356683895
Random Forest (Log),4.67944994867068,7.0215253965678635,0.6342382397927946,34.95606607898555,63.25043732060567
